[2019-03-26 13:28:12,212] [etl_manager.py:58] INFO - Downloading file from http://files.grouplens.org/datasets/movielens/ml-20m-youtube.zip
[2023-11-01 16:19:43,265] [database_setup.py:67] INFO - check/ create cart done
[2023-11-01 16:20:24,818] [etl_manager.py:35] INFO - Initialised database check/ creation
[2023-11-01 16:20:24,944] [database_setup.py:58] INFO - check/ create product done
[2023-11-01 16:20:24,975] [database_setup.py:61] INFO - check/ create product_variation done
[2023-11-01 16:20:25,022] [database_setup.py:64] INFO - check/ create customers done
[2023-11-01 16:20:25,060] [database_setup.py:67] INFO - check/ create cart done
[2023-11-02 21:34:46,865] [etl_manager.py:35] INFO - Initialised database check/ creation
[2023-11-02 21:34:47,101] [database_setup.py:58] INFO - check/ create product done
[2023-11-02 21:34:47,106] [database_setup.py:61] INFO - check/ create product_variation done
[2023-11-02 21:34:47,114] [database_setup.py:64] INFO - check/ create customers done
[2023-11-02 21:34:47,123] [database_setup.py:67] INFO - check/ create cart done
[2023-11-02 21:36:50,402] [clientserver.py:543] INFO - Closing down clientserver connection
[2023-11-02 21:59:53,693] [etl_manager.py:35] INFO - Initialised database check/ creation
[2023-11-02 21:59:53,723] [database_setup.py:58] INFO - check/ create product done
[2023-11-02 21:59:53,725] [database_setup.py:61] INFO - check/ create product_variation done
[2023-11-02 21:59:53,732] [database_setup.py:64] INFO - check/ create customers done
[2023-11-02 21:59:53,737] [database_setup.py:67] INFO - check/ create cart done
[2023-11-02 22:00:57,940] [clientserver.py:543] INFO - Closing down clientserver connection
[2023-11-03 13:22:42,559] [etl_manager.py:35] INFO - Initialised database check/ creation
[2023-11-03 13:22:42,562] [database_setup.py:58] INFO - check/ create product done
[2023-11-03 13:22:42,564] [database_setup.py:61] INFO - check/ create product_variation done
[2023-11-03 13:22:42,566] [database_setup.py:64] INFO - check/ create customers done
[2023-11-03 13:22:42,568] [database_setup.py:67] INFO - check/ create cart done
[2023-11-03 13:23:32,472] [clientserver.py:543] INFO - Closing down clientserver connection
[2023-11-03 13:42:55,076] [etl_manager.py:35] INFO - Initialised database check/ creation
[2023-11-03 13:42:55,131] [database_setup.py:60] INFO - check/ create product done
[2023-11-03 13:42:55,166] [database_setup.py:64] INFO - check/ create product_variation done
[2023-11-03 13:42:55,213] [database_setup.py:68] INFO - check/ create customers done
[2023-11-03 13:43:37,474] [etl_manager.py:35] INFO - Initialised database check/ creation
[2023-11-03 13:43:37,476] [database_setup.py:58] INFO - check/ create product done
[2023-11-03 13:43:37,478] [database_setup.py:61] INFO - check/ create product_variation done
[2023-11-03 13:43:37,480] [database_setup.py:64] INFO - check/ create customers done
[2023-11-03 13:43:37,482] [database_setup.py:67] INFO - check/ create cart done
[2023-11-03 13:44:36,304] [clientserver.py:543] INFO - Closing down clientserver connection
[2023-11-03 13:46:47,132] [etl_manager.py:35] INFO - Initialised database check/ creation
[2023-11-03 13:46:47,186] [database_setup.py:64] INFO - check/ create product done
[2023-11-03 13:46:47,219] [database_setup.py:68] INFO - check/ create product_variation done
[2023-11-03 13:46:47,246] [database_setup.py:72] INFO - check/ create customers done
[2023-11-03 13:48:46,942] [etl_manager.py:35] INFO - Initialised database check/ creation
[2023-11-03 13:48:46,945] [database_setup.py:64] INFO - check/ create product done
[2023-11-03 13:48:46,948] [database_setup.py:68] INFO - check/ create product_variation done
[2023-11-03 13:48:46,951] [database_setup.py:72] INFO - check/ create customers done
[2023-11-03 13:52:17,230] [etl_manager.py:35] INFO - Initialised database check/ creation
[2023-11-03 13:52:17,233] [database_setup.py:64] INFO - check/ create product done
[2023-11-03 13:52:17,235] [database_setup.py:68] INFO - check/ create product_variation done
[2023-11-03 13:52:17,238] [database_setup.py:72] INFO - check/ create customers done
[2023-11-03 13:55:23,647] [etl_manager.py:35] INFO - Initialised database check/ creation
[2023-11-03 13:55:23,650] [database_setup.py:64] INFO - check/ create product done
[2023-11-03 13:55:23,653] [database_setup.py:68] INFO - check/ create product_variation done
[2023-11-03 13:55:23,656] [database_setup.py:72] INFO - check/ create customers done
[2023-11-03 13:55:23,657] [database_setup.py:76] INFO - check/ create cart done
[2023-11-03 13:56:19,440] [clientserver.py:543] INFO - Closing down clientserver connection
[2023-11-03 18:22:55,137] [etl_manager.py:35] INFO - Initialised database check/ creation
[2023-11-03 18:22:55,228] [database_setup.py:64] INFO - check/ create product done
[2023-11-03 18:22:55,261] [database_setup.py:68] INFO - check/ create product_variation done
[2023-11-03 18:22:55,322] [database_setup.py:72] INFO - check/ create customers done
[2023-11-03 18:22:55,323] [database_setup.py:76] INFO - check/ create cart done
[2023-11-03 18:24:19,834] [clientserver.py:543] INFO - Closing down clientserver connection
[2023-11-03 20:03:24,368] [etl_manager.py:35] INFO - Initialised database check/ creation
[2023-11-03 20:09:32,360] [database_setup.py:64] INFO - check/ create product done
[2023-11-03 20:09:32,368] [database_setup.py:68] INFO - check/ create product_variation done
[2023-11-03 20:09:32,385] [database_setup.py:72] INFO - check/ create customers done
[2023-11-03 20:09:32,390] [database_setup.py:76] INFO - check/ create cart done
[2023-11-03 20:11:36,824] [etl_manager.py:35] INFO - Initialised database check/ creation
[2023-11-03 20:12:06,726] [database_setup.py:64] INFO - check/ create product done
[2023-11-03 20:12:06,729] [database_setup.py:68] INFO - check/ create product_variation done
[2023-11-03 20:12:06,747] [database_setup.py:72] INFO - check/ create customers done
[2023-11-03 20:12:06,756] [database_setup.py:76] INFO - check/ create cart done
[2023-11-03 20:12:06,797] [clientserver.py:543] INFO - Closing down clientserver connection
[2023-11-03 20:12:06,849] [clientserver.py:543] INFO - Closing down clientserver connection
